127.0.0.1 - - [14/Jun/2023:10:22:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:26:00 +0530] "GET /OnlineExpenseTracker/ HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:26:02 +0530] "GET /OnlineExpenseTracker/image/ex2.png HTTP/1.1" 200 9201
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:26:02 +0530] "GET /OnlineExpenseTracker/image/ex1.jpg HTTP/1.1" 200 66470
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:26:02 +0530] "GET /OnlineExpenseTracker/image/ex3.png HTTP/1.1" 200 982123
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:26:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:26:38 +0530] "GET /OnlineExpenseTracker/ HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:26:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:28:36 +0530] "GET /OnlineExpenseTracker/ HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:29:04 +0530] "GET /OnlineExpenseTracker/ HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:29:28 +0530] "GET /OnlineExpenseTracker/ HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:30:36 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:30:37 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:30:39 +0530] "GET /OnlineExpenseTracker/login.jsp HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:30:39 +0530] "GET /OnlineExpenseTracker/login.jsp HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:30:40 +0530] "GET /OnlineExpenseTracker/login.jsp HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:31:30 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:31:35 +0530] "POST /OnlineExpenseTracker/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:33:16 +0530] "GET /OnlineExpenseTracker/login.jsp HTTP/1.1" 200 3296
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:33:21 +0530] "POST /OnlineExpenseTracker/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:33:21 +0530] "GET /OnlineExpenseTracker/user/home.jsp HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:33:30 +0530] "GET /OnlineExpenseTracker/user/viewExpense.jsp HTTP/1.1" 200 4268
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:33:34 +0530] "GET /OnlineExpenseTracker/user/home.jsp HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:33:38 +0530] "GET /OnlineExpenseTracker/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:10:33:38 +0530] "GET /OnlineExpenseTracker/login.jsp HTTP/1.1" 200 3024
